# 240927_17:21:55.346444
t	CH1	CH2
0.000000e+00	-5.302889e-03	1.946817e-01
1.000000e-08	-6.188777e-03	1.607474e-01
2.000000e-08	-5.769940e-03	1.239606e-01
3.000000e-08	-5.868672e-03	8.720881e-02
4.000000e-08	-5.287555e-03	5.163186e-02
5.000000e-08	-5.177909e-03	2.305016e-02
6.000000e-08	-4.937267e-03	-1.083658e-02
7.000000e-08	-3.853367e-03	-3.521276e-02
8.000000e-08	4.457453e-03	-7.698932e-02
9.000000e-08	1.122115e-03	-1.064179e-01
1.000000e-07	-5.083840e-03	-1.352201e-01
1.100000e-07	3.968512e-04	-1.707261e-01
1.200000e-07	-4.831422e-03	-1.939972e-01
1.300000e-07	-6.535480e-03	-2.297405e-01
1.400000e-07	9.496321e-03	-2.518413e-01
1.500000e-07	7.606146e-02	-2.825702e-01
1.600000e-07	5.334599e-02	-3.425675e-01
1.700000e-07	-1.101937e-01	-3.764224e-01
1.800000e-07	2.822268e-02	-4.089440e-01
1.900000e-07	-6.160435e-02	-4.361973e-01
2.000000e-07	-8.863192e-02	-4.645176e-01
2.100000e-07	-6.880093e-02	-4.716383e-01
2.200000e-07	1.978096e-01	-5.058832e-01
2.300000e-07	-1.507781e-01	-5.554125e-01
2.400000e-07	1.165528e-01	-5.603144e-01
2.500000e-07	1.576805e-02	-6.177226e-01
2.600000e-07	-1.028884e-01	-6.498864e-01
2.700000e-07	1.483876e-01	-6.754063e-01
2.800000e-07	-2.017612e-01	-7.301465e-01
2.900000e-07	1.330307e-01	-7.205219e-01
3.000000e-07	-2.815481e-02	-7.922463e-01
3.100000e-07	-2.319826e-02	-8.052126e-01
3.200000e-07	1.287291e-01	-8.366343e-01
3.300000e-07	-1.651247e-01	-8.856753e-01
3.400000e-07	1.321679e-01	-8.900983e-01
3.500000e-07	-1.542232e-01	-9.429930e-01
3.600000e-07	8.311050e-02	-9.469430e-01
3.700000e-07	1.236445e-03	-9.875089e-01
3.800000e-07	-4.751534e-02	-1.017156e+00
3.900000e-07	1.263816e-01	-1.031627e+00
4.000000e-07	-1.343532e-01	-1.081420e+00
4.100000e-07	9.364666e-02	-1.086846e+00
4.200000e-07	-1.091985e-01	-1.131509e+00
4.300000e-07	5.437427e-02	-1.148790e+00
4.400000e-07	-2.465724e-02	-1.179840e+00
4.500000e-07	2.251263e-02	-1.210095e+00
4.600000e-07	3.256901e-02	-1.221053e+00
4.700000e-07	-4.716978e-02	-1.256472e+00
4.800000e-07	3.231798e-02	-1.272504e+00
4.900000e-07	-6.221472e-02	-1.301888e+00
5.000000e-07	4.023000e-02	-1.320792e+00
5.100000e-07	-4.571137e-02	-1.348837e+00
5.200000e-07	3.951989e-02	-1.365995e+00
5.300000e-07	-1.830058e-02	-1.387155e+00
5.400000e-07	2.597134e-02	-1.408463e+00
5.500000e-07	-2.086269e-02	-1.435611e+00
5.600000e-07	-5.371417e-03	-1.456511e+00
5.700000e-07	-1.040895e-02	-1.472671e+00
5.800000e-07	-1.046869e-02	-1.494316e+00
5.900000e-07	1.146228e-02	-1.511213e+00
6.000000e-07	-1.068392e-02	-1.528300e+00
6.100000e-07	9.467842e-03	-1.546145e+00
6.200000e-07	-1.290436e-02	-1.567302e+00
6.300000e-07	6.339329e-03	-1.580987e+00
6.400000e-07	-1.374551e-02	-1.598834e+00
6.500000e-07	-1.311354e-03	-1.607508e+00
6.600000e-07	-4.281213e-03	-1.628195e+00
6.700000e-07	1.411667e-03	-1.646892e+00
6.800000e-07	-3.335211e-03	-1.658719e+00
6.900000e-07	-3.541719e-03	-1.670355e+00
7.000000e-07	-7.172150e-03	-1.678079e+00
7.100000e-07	-2.625502e-03	-1.694321e+00
7.200000e-07	-4.148945e-03	-1.702945e+00
7.300000e-07	-4.986788e-04	-1.712469e+00
